"","Award.Year","Winner.Id","Full.Name","Field","Prize","Prize.Amount","Prize.Amount.Adjusted","Prize.Share","Motivation","Date.Awarded","DOB","age"
"1","1901","160","Jacobus H. van 't Hoff","Chemistry","The Nobel Prize in Chemistry",150782,8722510,"1","in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions",NA,"1852-08-30",0
"2","1901","569","Sully Prudhomme","Literature","The Nobel Prize in Literature",150782,8722510,"1","in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect",NA,"1839-03-16",0
"3","1901","462","Henry Dunant","Peace","The Nobel Peace Prize",150782,8722510,"1/2","for his humanitarian efforts to help wounded soldiers and create international understanding","1901-12-10","1828-05-08",0
"4","1901","463","Frédéric Passy","Peace","The Nobel Peace Prize",150782,8722510,"1/2","for his lifelong work for international peace conferences, diplomacy and arbitration","1901-12-10","1822-05-20",0
"5","1901","1","Wilhelm Conrad Röntgen","Physics","The Nobel Prize in Physics",150782,8722510,"1","in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him",NA,"1845-03-27",0
"6","1901","293","Emil von Behring","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",150782,8722510,"1","for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths",NA,"1854-03-15",0
"7","1902","161","Emil Fischer","Chemistry","The Nobel Prize in Chemistry",141847,8205634,"1","in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses",NA,"1852-10-09",0
"8","1902","571","Theodor Mommsen","Literature","The Nobel Prize in Literature",141847,8205634,"1","the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>",NA,"1817-11-30",0
"9","1902","464","Élie Ducommun","Peace","The Nobel Peace Prize",141847,8205634,"1/2","for his untiring and skilful directorship of the Bern Peace Bureau","1902-12-10","1833-02-19",0
"10","1902","465","Albert Gobat","Peace","The Nobel Peace Prize",141847,8205634,"1/2","for his eminently practical administration of the Inter-Parliamentary Union","1902-12-10","1843-05-21",0
"11","1902","2","Hendrik A. Lorentz","Physics","The Nobel Prize in Physics",141847,8205634,"1/2","in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena",NA,"1853-07-18",0
"12","1902","3","Pieter Zeeman","Physics","The Nobel Prize in Physics",141847,8205634,"1/2","in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena",NA,"1865-05-25",0
"13","1902","294","Ronald Ross","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",141847,8205634,"1","for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it",NA,"1857-05-13",0
"14","1903","162","Svante Arrhenius","Chemistry","The Nobel Prize in Chemistry",141358,7936836,"1","in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation",NA,"1859-02-19",0
"15","1903","572","Bjørnstjerne Bjørnson","Literature","The Nobel Prize in Literature",141358,7936836,"1","as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",NA,"1832-12-08",0
"16","1903","466","Randal Cremer","Peace","The Nobel Peace Prize",141358,7936836,"1","for his longstanding and devoted effort in favour of the ideas of peace and arbitration","1903-12-10","1828-03-18",0
"17","1903","4","Henri Becquerel","Physics","The Nobel Prize in Physics",141358,7936836,"1/2","in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity",NA,"1852-12-15",0
"18","1903","5","Pierre Curie","Physics","The Nobel Prize in Physics",141358,7936836,"1/4","in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel",NA,"1859-05-15",0
"19","1903","6","Marie Curie","Physics","The Nobel Prize in Physics",141358,7936836,"1/4","in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel",NA,"1867-11-07",0
"20","1903","295","Niels Ryberg Finsen","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",141358,7936836,"1","in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science",NA,"1860-12-15",0
"21","1904","163","Sir William Ramsay","Chemistry","The Nobel Prize in Chemistry",140859,7908819,"1","in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system",NA,"1852-10-02",0
"22","1904","573","Frédéric Mistral","Literature","The Nobel Prize in Literature",140859,7908819,"1/2","in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist",NA,"1830-09-08",0
"23","1904","574","José Echegaray","Literature","The Nobel Prize in Literature",140859,7908819,"1/2","in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama",NA,"1832-04-19",0
"24","1904","467",NA,"Peace","The Nobel Peace Prize",140859,7908819,"1","for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane","1904-12-10",NA,0
"25","1904","8","Lord Rayleigh","Physics","The Nobel Prize in Physics",140859,7908819,"1","for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies",NA,"1842-11-12",0
"26","1904","296","Ivan Pavlov","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",140859,7908819,"1","in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged",NA,"1849-09-14",0
